year	trt	core	plot	depth	BD	TN	TC	IC	OC	CN	oCN
2008	PF	2	23	5	1.257610325	0.213147394	2.530232942	0	2.530232942	11.8708134	11.8708134
2008	PF	2	23	15	1.386579093	0.203211765	2.314526755	0	2.314526755	11.3897281	11.3897281
2008	PF	2	23	30	1.564425484	0.178243099	2.094229465	0	2.094229465	11.74928775	11.74928775
2008	PF	2	23	5	1.349587681	0.220699275	2.534632987	0	2.534632987	11.48455509	11.48455509
2008	PF	2	23	15	1.423370908	0.194273843	2.18176646	0	2.18176646	11.23036649	11.23036649
2008	PF	2	23	30	1.457900087	0.21193791	2.479178313	0	2.479178313	11.69766333	11.69766333
2008	PF	2	23	5	1.551128528	0.212053543	2.437245362	0	2.437245362	11.49353758	11.49353758
2008	PF	2	23	15	1.235802764	0.208875564	2.497579593	0	2.497579593	11.95726081	11.95726081
2008	PF	2	23	30	1.346906236	0.198520286	2.351513995	0	2.351513995	11.84520759	11.84520759
2008	PF	2	23	5	1.409069049	0.218359375	2.670078125	0	2.670078125	12.22790698	12.22790698
2008	PF	2	23	15	1.415917669	0.22340094	2.724004167	0	2.724004167	12.19334245	12.19334245
2008	PF	2	23	30	1.496776999	0.197888401	2.558494934	0	2.558494934	12.92897875	12.92897875
2008	P	2	24	5	1.501236954	0.215965186	2.544580428	0	2.544580428	11.78236398	11.78236398
2008	P	2	24	15	1.438044011	0.159161186	1.789548279	0	1.789548279	11.24362245	11.24362245
2008	P	2	24	30	1.511423371	0.162990355	1.789141172	0	1.789141172	10.97697573	10.97697573
2008	P	2	24	5	1.40011588	0.198002505	2.277280725	0	2.277280725	11.50127226	11.50127226
2008	P	2	24	15	1.597102543	0.150085152	1.834598821	0	1.834598821	12.22371968	12.22371968
2008	P	2	24	30	1.558396101	0.141059028	1.486374142	0	1.486374142	10.53724928	10.53724928
2008	P	2	24	5	1.247984312	0.25517938	3.241933423	0	3.241933423	12.7045274	12.7045274
2008	P	2	24	15	1.374710832	0.238027778	2.981203704	0	2.981203704	12.52460419	12.52460419
2008	P	2	24	30	1.537266003	0.160494691	2.143315179	0	2.143315179	13.35443038	13.35443038
2008	P	2	24	5	1.377256147	0.286203567	3.604985978	0	3.604985978	12.59588068	12.59588068
2008	P	2	24	15	1.345881303	0.27303933	3.393691966	0	3.393691966	12.42931548	12.42931548
2008	P	2	24	30	1.417695145	0.199962134	2.577334928	0	2.577334928	12.88911495	12.88911495
2008	CCW	2	25	5	1.121091115	0.225992518	2.620864333	0	2.620864333	11.59712876	11.59712876
2008	CCW	2	25	15	1.429087905	0.204177293	2.473334111	0	2.473334111	12.11365902	12.11365902
2008	CCW	2	25	30	1.492178492	0.181589488	2.200592569	0	2.200592569	12.11850196	12.11850196
2008	CCW	2	25	5	1.497520689	0.211210624	2.492447209	0	2.492447209	11.80076628	11.80076628
2008	CCW	2	25	15	1.528422307	0.197820958	2.212071609	0	2.212071609	11.18219038	11.18219038
2008	CCW	2	25	30	1.584184896	0.149873296	1.892870427	0	1.892870427	12.62980445	12.62980445
2008	CCW	2	25	5	1.546883992	0.285739709	3.467734669	0	3.467734669	12.13599146	12.13599146
2008	CCW	2	25	15	1.439859826	0.272543994	3.308296203	0	3.308296203	12.13857678	12.13857678
2008	CCW	2	25	30	1.528119844	0.216915343	2.630392565	0	2.630392565	12.12635549	12.12635549
2008	CCW	2	25	5	1.484056325	0.288352387	3.587747444	0	3.587747444	12.44223249	12.44223249
2008	CCW	2	25	15	1.364584615	0.25764557	3.108628137	0	3.108628137	12.06552137	12.06552137
2008	CCW	2	25	30	1.529371494	0.176475287	2.015981485	0	2.015981485	11.42359094	11.42359094
2008	S2	2	26	5	1.205007013	0.20939515	2.392062988	0	2.392062988	11.42367906	11.42367906
2008	S2	2	26	15	1.283966189	0.214016577	2.544260169	0	2.544260169	11.88814532	11.88814532
2008	S2	2	26	30	1.596409159	0.151143017	1.66349168	0	1.66349168	11.00607698	11.00607698
2008	S2	2	26	5	1.121022532	0.281667293	3.37959812	0	3.37959812	11.99854651	11.99854651
2008	S2	2	26	15	1.371001677	0.259251614	2.966101204	0	2.966101204	11.44101346	11.44101346
2008	S2	2	26	30	1.452286415	0.205837047	2.49181974	0.951	1.54081974	12.10578842	7.485628864
2008	S2	2	26	5	1.053544724	0.2637325	3.09755	0.459	2.63855	11.74504469	10.00464486
2008	S2	2	26	15	1.431910847	0.261974617	3.015564511	0.565	2.450564511	11.51090343	9.354205929
2008	S2	2	26	30	1.598572842	0.196990442	2.506410687	1.075	1.431410687	12.72351421	7.26639665
2008	S2	2	26	5	1.028512771	0.274032282	3.199612019	0	3.199612019	11.67604049	11.67604049
2008	S2	2	26	15	1.269639881	0.2635143	3.14944243	0	3.14944243	11.95169459	11.95169459
2008	S2	2	26	30	1.471690161	0.200892097	2.295176813	0	2.295176813	11.42492339	11.42492339
2008	P	3	31	5	1.120564211	0.25481922	3.136393932	0	3.136393932	12.30830992	12.30830992
2008	P	3	31	15	1.423397818	0.200235313	2.331983854	0	2.331983854	11.64621677	11.64621677
2008	P	3	31	30	1.632657198	0.203702349	2.389625021	0	2.389625021	11.73096447	11.73096447
2008	P	3	31	5	1.256547074	0.231578616	2.692011708	0	2.692011708	11.62461266	11.62461266
2008	P	3	31	15	1.488734892	0.215658004	2.498389253	0	2.498389253	11.58495954	11.58495954
2008	P	3	31	30	1.56335644	0.149139245	1.635587849	0	1.635587849	10.96685083	10.96685083
2008	P	3	31	5	1.026127272	0.33752888	4.050966447	0	4.050966447	12.00183655	12.00183655
2008	P	3	31	15	1.301740062	0.28788801	3.485175727	0	3.485175727	12.1060121	12.1060121
2008	P	3	31	30	1.369927649	0.247677784	2.794603565	0	2.794603565	11.28322259	11.28322259
2008	P	3	31	5	1.073212078	0.334850134	4.058542539	0	4.058542539	12.1204746	12.1204746
2008	P	3	31	15	1.426759237	0.258863728	3.209501763	0	3.209501763	12.39842209	12.39842209
2008	P	3	31	30	1.368694314	0.209551684	2.432608315	0	2.432608315	11.60863168	11.60863168
2008	PF	3	32	5	1.229377543	0.215962529	2.41126156	0	2.41126156	11.16518484	11.16518484
2008	PF	3	32	15	1.596387171	0.198332333	2.29631971	0	2.29631971	11.57814096	11.57814096
2008	PF	3	32	30	1.643222607	0.147991446	1.608382773	0	1.608382773	10.86807929	10.86807929
2008	PF	3	32	5	1.420932265	0.212313387	2.512205776	0	2.512205776	11.83253589	11.83253589
2008	PF	3	32	15	1.546117317	0.209903246	2.341736257	0	2.341736257	11.15626512	11.15626512
2008	PF	3	32	30	1.532097315	0.15923169	1.817318195	0	1.817318195	11.41304348	11.41304348
2008	PF	3	32	5	1.196713251	0.263904789	3.450432177	0	3.450432177	13.07453416	13.07453416
2008	PF	3	32	15	1.240197845	0.283527215	3.592709478	0	3.592709478	12.67148014	12.67148014
2008	PF	3	32	30	1.496112428	0.171121699	2.150043157	0	2.150043157	12.56440983	12.56440983
2008	PF	3	32	5	1.226992731	0.264581598	3.253185634	0	3.253185634	12.29558541	12.29558541
2008	PF	3	32	15	1.272546282	0.252465935	2.986549183	0	2.986549183	11.82951347	11.82951347
2008	PF	3	32	30	1.429523387	0.215588002	2.810197767	0	2.810197767	13.03503788	13.03503788
2008	S2	3	33	5	1.121242132	0.247360713	2.838181581	0	2.838181581	11.47385755	11.47385755
2008	S2	3	33	15	1.378980989	0.221072136	2.586472705	0	2.586472705	11.69967757	11.69967757
2008	S2	3	33	30	1.427831684	0.186957845	2.258393613	0	2.258393613	12.07969432	12.07969432
2008	S2	3	33	5	1.193331641	0.202652956	2.436721134	0	2.436721134	12.02410849	12.02410849
2008	S2	3	33	15	1.418357523	0.245941212	2.980766832	0	2.980766832	12.11983471	12.11983471
2008	S2	3	33	30	1.565207057	0.174122694	2.093751524	0	2.093751524	12.02457578	12.02457578
2008	S2	3	33	5	1.255863159	0.245312897	2.788339143	0	2.788339143	11.36645963	11.36645963
2008	S2	3	33	15	1.383723086	0.190966748	2.38606857	0	2.38606857	12.49468085	12.49468085
2008	S2	3	33	30	1.492343081	0.160564895	2.052676218	0	2.052676218	12.78409091	12.78409091
2008	S2	3	33	5	1.354677923	0.203864497	2.265724267	0	2.265724267	11.11387369	11.11387369
2008	S2	3	33	15	1.422552326	0.195578741	2.274809351	0	2.274809351	11.63116883	11.63116883
2008	S2	3	33	30	1.587897651	0.152091863	1.594117925	0	1.594117925	10.48128342	10.48128342
2008	C2	3	34	5	1.216443857	0.24634064	3.00685002	0	3.00685002	12.20606564	12.20606564
2008	C2	3	34	15	1.312406914	0.234168767	2.878537466	0	2.878537466	12.29257642	12.29257642
2008	C2	3	34	30	1.45571203	0.207735572	2.63446943	0	2.63446943	12.68184067	12.68184067
2008	C2	3	34	5	1.241425949	0.264077938	3.280223049	0	3.280223049	12.42142026	12.42142026
2008	C2	3	34	15	1.351966366	0.23638556	2.922585109	0	2.922585109	12.36363636	12.36363636
2008	C2	3	34	30	1.431626572	0.229098022	2.888940465	0	2.888940465	12.61006289	12.61006289
2008	C2	3	34	5	1.239760286	0.196754192	2.129897111	0	2.129897111	10.82516761	10.82516761
