"year" "block" "plot" "trt" "depth" "point" "mass"
"2011" "1" "15" "PF" "30" "22.5" 0.46631293175
"2011" "1" "15" "PF" "60" "45" 0.62894866725
"2011" "1" "15" "PF" "100" "80" 0.35673741375
"2011" "1" "16" "S2" "5" "2.5" 0.06786771975
"2011" "1" "16" "S2" "15" "10" 0.18620434325
"2011" "1" "16" "S2" "30" "22.5" 0.03886969375
"2011" "1" "16" "S2" "60" "45" 0.05306021725
"2011" "1" "16" "S2" "100" "80" 0.06404244825
"2011" "2" "21" "CC" "5" "2.5" 0.0452862785
"2011" "2" "21" "CC" "15" "10" 0.2276653505
"2011" "2" "21" "CC" "30" "22.5" 0.176332675
"2011" "2" "21" "CC" "60" "45" 0.237166831
"2011" "2" "21" "CC" "100" "80" 0.15412142175
"2011" "2" "22" "S2" "5" "2.5" 0.02899802575
"2011" "2" "22" "S2" "15" "10" 0.0596001975
"2011" "2" "22" "S2" "30" "22.5" 0.0536771965
"2011" "2" "22" "S2" "60" "45" 0.07255676175
"2011" "2" "22" "S2" "100" "80" 0.06601678175
"2011" "2" "23" "PF" "5" "2.5" 2.04676702875
"2011" "2" "23" "PF" "15" "10" 1.0857601185
"2011" "2" "23" "PF" "30" "22.5" 0.51172260625
"2011" "2" "23" "PF" "60" "45" 0.74037512325
"2011" "2" "23" "PF" "100" "80" 0.4692744325
"2011" "2" "24" "P" "5" "2.5" 4.33427936825
"2011" "2" "24" "P" "15" "10" 2.1744817375
"2011" "2" "24" "P" "30" "22.5" 1.09143632775
"2011" "2" "24" "P" "60" "45" 1.0688548865
"2011" "2" "24" "P" "100" "80" 0.538005923
"2011" "2" "25" "CCW" "5" "2.5" 0.10229516275
"2011" "2" "25" "CCW" "15" "10" 0.3545162885
"2011" "2" "25" "CCW" "30" "22.5" 0.2261846
"2011" "2" "25" "CCW" "60" "45" 0.19447186575
"2011" "2" "25" "CCW" "100" "80" 0.1963228035
"2011" "2" "26" "C2" "5" "2.5" 0.034797631
"2011" "2" "26" "C2" "15" "10" 0.06576999
"2011" "2" "26" "C2" "30" "22.5" 0.04615004925
"2011" "2" "26" "C2" "60" "45" 0.10550345525
"2011" "2" "26" "C2" "100" "80" 0.24716189525
"2011" "3" "31" "P" "5" "2.5" 4.64202862775
"2011" "3" "31" "P" "15" "10" 2.42349457066667
"2011" "3" "31" "P" "30" "22.5" 1.54676702875
"2011" "3" "31" "P" "60" "45" 1.18632773925
"2011" "3" "31" "P" "100" "80" 0.63129318875
"2011" "3" "32" "PF" "5" "2.5" 2.462734452
"2011" "3" "32" "PF" "15" "10" 2.30824284275
"2011" "3" "32" "PF" "30" "22.5" 0.61586870675
"2011" "3" "32" "PF" "60" "45" 0.46310463975
"2011" "3" "32" "PF" "100" "80" 0.3350197435
"2011" "3" "33" "C2" "5" "2.5" 0.23778381025
"2011" "3" "33" "C2" "15" "10" 0.25481243825
"2011" "3" "33" "C2" "30" "22.5" 0.09649555775
"2011" "3" "33" "C2" "60" "45" 0.1110562685
"2011" "3" "33" "C2" "100" "80" 0.17707305025
"2011" "3" "34" "S2" "5" "2.5" 0.03257650525
"2011" "3" "34" "S2" "15" "10" 0.1279615005
"2011" "3" "34" "S2" "30" "22.5" 0.090078973
"2011" "3" "34" "S2" "60" "45" 0.061697927
"2011" "3" "34" "S2" "100" "80" 0.055774926
"2011" "3" "35" "CC" "5" "2.5" 0.111385324333333
"2011" "3" "35" "CC" "15" "10" 0.2239634745
"2011" "3" "35" "CC" "30" "22.5" 0.170903258
"2011" "3" "35" "CC" "60" "45" 0.2074284305
"2011" "3" "35" "CC" "100" "80" 0.17497532075
"2011" "3" "36" "CCW" "5" "2.5" 0.05515794675
"2011" "3" "36" "CCW" "15" "10" 0.25481243825
"2011" "3" "36" "CCW" "30" "22.5" 0.34242349475
"2011" "3" "36" "CCW" "60" "45" 0.25765054275
"2011" "3" "36" "CCW" "100" "80" 0.15436821325
"2011" "4" "41" "PF" "5" "2.5" 1.04195459
"2011" "4" "41" "PF" "15" "10" 0.6896594275
"2011" "4" "41" "PF" "30" "22.5" 0.465449161
"2011" "4" "41" "PF" "60" "45" 0.615621915
"2011" "4" "41" "PF" "100" "80" 0.3304540965
"2011" "4" "42" "CCW" "5" "2.5" 0.1314165845
"2011" "4" "42" "CCW" "15" "10" 0.218534057
"2011" "4" "42" "CCW" "30" "22.5" 0.12931885475
"2011" "4" "42" "CCW" "60" "45" 0.2823297135
"2011" "4" "42" "CCW" "100" "80" 0.188302073
"2011" "4" "43" "CC" "5" "2.5" 0.175345508
"2011" "4" "43" "CC" "15" "10" 0.17633267525
"2011" "4" "43" "CC" "30" "22.5" 0.157206318
"2011" "4" "43" "CC" "60" "45" 0.19669299125
"2011" "4" "43" "CC" "100" "80" 0.1153751235
"2011" "4" "44" "C2" "5" "2.5" 0.03800592325
"2011" "4" "44" "C2" "15" "10" 0.056638697
"2011" "4" "44" "C2" "30" "22.5" 0.053183613
"2011" "4" "44" "C2" "60" "45" 0.1220384995
"2011" "4" "44" "C2" "100" "80" 0.185957552
"2011" "4" "45" "S2" "5" "2.5" 0.10155478775
"2011" "4" "45" "S2" "15" "10" 0.064165844
"2011" "4" "45" "S2" "30" "22.5" 0.0942744325
"2011" "4" "45" "S2" "60" "45" 0.122655479
"2011" "4" "45" "S2" "100" "80" 0.08415597225
"2011" "4" "46" "P" "5" "2.5" 4.18928924
"2011" "4" "46" "P" "15" "10" 2.26332675225
"2011" "4" "46" "P" "30" "22.5" 0.99358341525
"2011" "4" "46" "P" "60" "45" 1.154491609
"2011" "4" "46" "P" "100" "80" 0.8695705825
"2012" "1" "11" "S2" "5" "2.5" 0.0384887005
"2012" "1" "11" "S2" "15" "10" 0.11193502825
"2012" "1" "11" "S2" "30" "22.5" 0.108992467
"2012" "1" "11" "S2" "60" "45" 0.2146892655
"2012" "1" "11" "S2" "100" "80" 0.21998587575
"2012" "1" "12" "CC" "5" "2.5" 0.34086629025
